WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC FORM	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANSLATION SYNONYM1	TRANSLATION SYNONYM2	TRANSLATION SYNONYM3	TRANSLATION SYNONYM4	TRANSLATION SYNONIM 5	TRANSLATION SYNONIM 6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
a				Pr		1	Báiki/Lugar		lusa		Po								Mañana iré a tu casa.	Ihttin boađán du lusa.												
a				Pr		2	Báiki/Lugar		beallái		Po								Aunque viajemos a Suecia seguiremos estando en Sápmi.	Vaikko mii joatkit Ruoŧa beallái, de mii bissot Sámis.												
a				Pr		3			guvlui		Po								Ahora giraré a la izquierda.	Dál mun vuoján gurutguvlui.												
a				Pr		4	Áigemearri		rádjái		Po								La oficina está abierta de tres a cinco.	Kántuvra lea rabas golmma rájes viđa rádjái.												
a				Pr		5	Báiki/Lugar			Ill									ir a Perú	vuolgit Perui	El autobús va de Guovdageaidnu a Kárášjohka.	Busse vuodjá Guovdageainnus Kárášjohkii.										
a				Pr		6				Acc									Ayer vi a Carmen.	Mun deiven Carmena ikte.												
a				Pr		7				Loc									Preguntaremos a Márjá sobre el asunto.	Mii jearrat Márjjás ášši.												
a				Pr		8	Áigi/Tiempo			Loc		Freq							Riego la planta tres veces a la semana.	Mun čáhccen šattuid golmma geardde vahkus.												
a				Pr		9	Stáhtalaš/Estático		-bealde		Adv								La cocina está a la izquierda.	Gievkkan lea gurutbealde.												
a				Pr		10	Dynámalaš/Dinámico		gurrii		Po		s: báldii						Se han sentado a la mesa.	Sii leat čohkkedan beavddi gurrii.												
a				Pr		11	Áigi/Tiempo		maŋŋá		Po								a los tres años	golbma jagi maŋŋá												
a				Pr		12	Ahki		-jahkásaččat		Adv								A los quince años, viajé por primera vez a América.	Vihttanuppelot-jahkásažžan mátkkoštin vuosttaš geardde Amerihkkái.												
a				Pr		13				Inf		+ V							Mi hijo está aprendiendo a hablar.	Mu mánná lea oahppamin hállat.	Ya se han sentado a comer.	Sii leat juo čohkkedan borrat.										
al	M,F			CtArt		14				Acc									Abrió la puerta al director.	Son rabai direktovrra uvssa.												
al	M,F			CtArt		15				Loc									Quitamos las cerillas al niño.	Mii válddiimet riššaid gánddas.												
al	M,F			CtArt		16	Báiki/Lugar			Ill									Subió al tren.	Manai togii.												
al				CC		17			go		CC	+ Inf							Comete errores al hablar.	Son dahká boastot, go hállá.	Al no tener dinero, ha vuelto a casa de su padre.	Go sus ii leat ruhta, de lea jorggihan iežas áhči ruktui.	Al pensar en ello, me entristezco.	Go mun smiehtan dás, de mun ahkádušan.	Leeré el libro al volver.	Logan girjji, go mun boađán.						
al				CC		18				Ger									Comete errores al hablar.	Son dahká boastot háladettiin.	Leeré el libro al volver.	Logan girjji jorggihettiinan.										
empezar a		s: comenzar a	1f	VLc		19				Der/goahti	V	+ Inf							Hoy empiezo a trabajar en la escuela.	Odne bargagoađán oahpahagas.												
ir a			3t	VLc		20	Njuolga boahtteáigi		áigut		V	IV, + Inf							Voy a comer.	Mun áiggun mannat boradit.	Voy a llamarle por teléfono.	Áiggun riŋget sutnje dál.										
ir a			3t	VLc		21	Leaktu		vuodjit		V	IV							El tren va a trescientos kilómetros por hora.	Toga vuodjá golbmačuohte kilomehtera diimmus.												
oler a			2i	VLc		22			haksot		V	IV							La sartén huele a pescado.	Bánnus hakso guollehádja.												
saber a			2n	VLc		23			leat -máistu		VLc	IV	s: -njaddit 						El pan sabe a cebolla.	Láibbis lea lávkemáistu.	El pan sabe a cebolla.	Láibi lávkenjaddá.										
abajo				Adv		1	Stáhtalaš/Estático		vuollin		Adv								Espero abajo.	Mun vuorddán vuollin.												
abajo				Adv		2	Stáhtalaš/Estático		vuolábealde		Po								el piso de abajo	ásodaga vuolábealde												
abajo				Adv		3	Dynámalaš/Dinámico		vulos		Po		s: vulos guvlui						Conducimos por esta calle hacia abajo.	Mii vuodjit dán gáhta vulos.												
abandonado	M,F			A		1			hilgun		A																					
abandonado	M,F			A		2			guođđin		A																					
abandonar			1a	V		1			hilgut		V	TV							Abandonó a su novia.	Son hilggui iežas moarsi.												
abandonar			1a	V		2			guođđit		V	TV							Tuvo que abandonar la ciudad.	Son fertii guođđit gávpoga.												
abandonarse			1a	V	abandonar	3			vuollánit		V	Prnl, ReflV	s: addit vuollái						Te has abandonado al alcohol durante demasiado tiempo.	Don leat vuollánan alkoholii menddo guhká.												
abecedario	M			N		1			alfabehta		N		s: áppesgirji	s: áppes																		
abedul	M			N		1		betula pendula	soahki 		N																					
abeja	F			N		1		apis mellifera	mieđašeatni		N		s: čoarvevievssis																			
abejorro	M			N		1		bombus terrestris	uvlu		N		v: uvhlu																			
abeto	M			N		1		abies alba	guossa		N																					
abierto	M,F			A	abrir	1			rabas		A								La puerta está abierta.	Uksa lea rabas.												
abierto	M,F			A	abrir	2	Geainnut		vuojehahtti		A								Las carreteras ya no tienen hielo; están abiertas.	Geainnuin eai leat šat jiekŋasat, dat leat vuojehahttit.												
abierto	M,F			A	abrir	3			viesoheapmi		A								campo abierto	viesuhis guovllu												
aborto	M			N		1	Olmmoš		cuovkaneapmi		N																					
aborto	M			N		2	Eallit		reiton		N																					
abrazar			1f	V		1			sallut		V	TV	s: fátmut						María abrazó a su padre.	María salui iežas áhči.												
abrazarse			1f	V	abrazar	2			sallut		V	Prnl, ReflV	s: salain dearvvahit						Cuando tienen miedo, los niños se abrazan a cualquiera.	Go sii ballet, de mánát sallot vaikko gean.												
abrazarse			1f	V	abrazar	3			sallut		V	Prnl, RecV	s: saludit	s: váldit birračeabáha					Los esposos se abrazan.	Náittosbárra salluba goabbát guoimmiska.												
abrazo	M			N		1			buorresteapmi		N		s: sallun	s: fátmmasteapmi																		
dar un abrazo		s: abrazar	1r	VLc		2			buorrestit		V	TV	s: fátmmastit	s: fátmut																		
abrir			3a	V		1			rahpat		V	TV	s: leahkastit	s: cakkastit	s: govket				¡Abre la puerta!	Raba uvssa!												
abrir			3a	V		2			rahpat		V	IV							Las tiendas abren a la nueve y media.	Buvddat rahpet beal logis.												
abrir			3a	V		3	Figuratiiva/Figurado		álggahit		V	TV	s: vihahit						El rector abrió el curso escolar.	Oahpahaga njunošhoavda álggahii oahpahusjagi.												
abrir			3a	V		4			doaibmat		V	IV							Esta puerta abre mal.	Dát uksa doaibmá hejodit.												
abrirse			3a	V	abrir	5			šaddat		V	Prnl, IV	s: bohciidit	s: lieđđut					Las flores se abren en primavera.	Hearvarásit bohciidit giđđat.												
abrirse			3a	V	abrir	6	Čiegusvuođa dovdduid		cealkit 		V	Prnl, IV							Me abro con mis amigos.	Mun cealkkán čiegusvuođa dovdduid ustibiiddásan.												
abrochar			1a	V		1			čavget		V	TV							¿Me abrochas el vestido?	Sáhtát go čavget mu biktasa?												
abrocharse			1a	V	abrochar	2			čavget		V	Prnl, ReflV	s: giddet						Abróchense los cinturones de seguridad.	Čavgejehket iežadet dorvoboahkániid.												
abuela	F			N		1			áhkku		N																					
abuelo	M			N		1			áddjá		N																					
abuelos				N		1			áhkku ja áddjá		NLc	Use: Pl																				
abundante	M/F			A		1			valjis		A		s: valljugas	s: ráhpat																		
abundar			1a	V		1			leat valjit		VLc	IV	s: leat sakka	s: gávdnot valljugasat					En este río abundan los cangrejos.	Dán jogas gávdnojit valljugasat reabbát.												
aburrido	M,F 			A		1			ahkit		A		s: láittas	s: suivat	s: váivi																	
aburrir			3a	V		1			dolkadit		V	TV	s: váibadit						Lloras tanto que me aburres.	Don čierut nu dávjá ahte mu dolkadat.	Las películas le aburren.	Filmmat váibadit su.										
aburrirse			3a	V	aburrir	2			ahkáduššat		V	Prnl, IV	s: láittastuvvat						Me aburro en la oficina.	Mun láittastuvan bargosajis.												
acabar		s: terminar	1a	V		1			geargat		V	IV, UseAlso: se +	s: nohkat						La reunión acaba pronto.	Čoahkkin geargá fargga.	La reunión se acaba pronto.	Čoahkkin nohká fargga.										
acabar			1a	V		2			loahpahit		V	TV							He acabado el libro.	Lean loahpahan girjji.												
acabar			1a	V	acabar	3			heaittihit		V	UseTV, + con							Los políticos deberían acabar con la corrupción.	Politihkárat berrešedje heaittihit korrupšuvnna.												
acabar			1a	V	acabar	4			goddit		V	UseTV, + con	s: sorbmet	s: heakkahuhttit	s: jalget				Algunos gobiernos coloniales acabaron con los indígenas.	Muhtun kolonialisttalaš ráđđehusat godde eamiálbmogiid.												
acabar			1a	V	acabar	5			heaitit		V	IV, + de							¿A qué hora acabas de trabajar?	Guđe áiggi heaittát barggus?	¿A qué hora acabas de trabajar?	Goas heaittát barggus?										
acabar			1a	VLc	acabar	6			leat aiddo		V	AuxV, + de + Inf, Saam: + PrfPrc	s: leat eske						Acaba de llegar.	Aiddo lea boahtán.	Acabo de comer hace un momento.	Mun lean eske boradan.										
acabarse		s: terminarse	1a	V	acabar	7			nohkat		V	Prnl, IV	s: gollat						Comes tan poco que te estás acabando.	Don borat nu unnán ahte don leat nohkamin.	Los huevos se han acabado en la tienda.	Rámbuvrris leat nohkan monit.	Se me ha acabado la batería.	Bahtter lea gollan.								
acabarse			1a	VLc	acabar	8			leat aiddo		V	Prnl, AuxV, + de + Inf, Saam: + PrfPrc	s: leat eske						Me acabo de levantar.	Lean aiddo lihkkan.												
accidentado	M,F			A		1	Eanadieđa/Geografía		rámškkas		A		s: boldnái	s: čobmái	s: rušas	s: eahpedásset 			terreno accidentado	rámško-eanan												
accidente	M			N		1			lihkohisvuohta		N		s: bárti	s: vuotnahisvuohta					Susana sufrió un accidente de autobús.	Susana gárttai busselihkohisvuhtii.												
accidente	M			N		2	Eanadieđa/Geografía		roggi		N								Ese camino de montaña tiene muchos accidentes.	Dán várregeainnus leat ollu rokkit.	Ese camino de montaña tiene muchos accidentes.	Dát várregeaidnu lea roggái.										
accidente	M			N		3	Giella-oahppa/Gramática		sojahus		N																					
