WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC FORM	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANSLATION SYNONYM1	TRANSLATION SYNONYM2	TRANSLATION SYNONYM3	TRANSLATION SYNONYM4	TRANSLATION SYNONIM 5	TRANSLATION SYNONIM 6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
¡adentro!				Interj		6			boađe sisa!		Interj																					
¡afuera!		s: ¡fuera!		Interj		4			mana olggos!		Interj		s: olggoráigge!																			
¡alto!	M			Interj		1			bisán!		Interj		s: orus!																			
¡bravo!				Interj		7	Aplosa		buorre!		Interj		s: bravo!																			
¡buenos días!				Interj		15			buorre beaivi!		Interj																					
¡caramba!				Interj		1			vuoi skárba!		Interj		s: vuoi neavri!																			
¡caray!				Interj		1			hiida!		Interj		s: skárba!	s: skuordna!																		
¡cierra la boca!				Interj		4	Figuratiiva/Figurado		oro jaska!		Interj																					
¡claro!				Interj		1			áibbas duohta!		Interj		s: dieđusge!																			
¡cómo!				Interj		2	Hirpmástus		ojá nu!		Interj																					
¡con perdón!		s: ¡perdone!		Interj		2	Buorremenolašvuođa sátni/Uso cortés		ándagassii!		Interj																					
¡cuidado!				Interj		3			várut!		Interj		s: gáhtte!	s: leage várrugas!	s: fuomáš!																	
¡felicidades!	F			Lc		2	Riegádanbeaivvi...		váimmolaš lihkkosávaldagat!		Lc	Pl																				
¡feliz Navidad!				Lc		3			buorit Juovllat!		Lc	Saam: Pl																				
¡fíjate!				Interj		4			jurddaš!		Interj																					
¡fuego!				Interj		10	Viessu		viessu buollá!		Interj																					
¡fuego!				Interj		11	Gieddi		gieddi buollá!		Interj																					
¡fuego!				Interj		14	Militára gohččun		báhččet!		Interj																					
¡hasta la vista!				Lc		3			mii oaidnalat!		Lc		s: mii oaidnalit!	s: moai oaidnaletne!																		
¡hay que ver!				Interj		8			jáhkemeahttun!		Interj																					
¡hola!				Interj		1			hei!		Interj		s: bures!	s: buorre beaivi!																		
¡hombre!				Interj		15			oainnát!		Interj																					
¡qué horror!				Interj		4			vuoi surgat!		Interj		s: vuoi gáfat!																			
¡toma!				Interj		22	Beaivválaš giella/Uso coloquial		gilvodilis ja gilvvohallamis, go nubbi ceavzá nuppiin		Pfs	Mom																				
¡tome!		s: ¡toma!		Interj		21			lea ge buorre!		Interj																					
¡vaya!				Interj		42			vuoi dan!		Interj																					
¡viva!				Interj		4			hurá!		Interj																					
¡ya vale!				Interj		8			dat lea doarvái!		Interj		s: ále joatkke!	s: bis(s)án!																		
¿a qué hora...?				InterrLc		2			galle áigge...?		Interr																					
¿cómo no?				InterjLc		1			dieđusge		Interj		s: na	s: áibbas duohta					Iré a tu boda, ¿cómo no?	Mun dieđusge oassálasttán du heajain!												
¿dígame?		s: ¿diga?		Interr		4	Telefuvdna		hallo?		Interr																					
¿no es así?				Lc		3			amma nu?		Lc																					
¿qué hora es?		s: ¿tiene(s) hora?		Lc		3			ollugo diibma lea?		Lc		s: man ollu diibma lea?																			
(de) dos lados	M/F	s: (con) dos lados, (de) dos caras, (con) dos caras		ALc		4			guovttebealat		A								Antes los discos tenían dos lados.	Ovddeš áiggiid discot ledje guovttebealagat.	Antes los discos eran de dos caras.	Ovddeš áiggiid discot ledje guovttebealagat.										
