WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC WORD	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANS SYNON1	TRANS SYNON2	TRANS SYNON3	TRANS SYNON4	TRANS SYNON5	TRANS SYNON6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
a				Pr		1	Lugar / Báíki		lusa		Po								Mañana iré a tu casa.	Ihttin boađán du lusa.												
a				Pr		2	Lugar / Báíki		beallái		Po								Aunque viajemos a Suecia seguiremos estando en Sápmi.	Vaikko mii joatkit Ruoŧa beallái, de mii bissot Sámis.												
a				Pr		3			guvlui		Po								Ahora giraré a la izquierda.	Dál mun vuoján gurutguvlui.												
a				Pr		4	Áigemearri		rádjái		Po								La oficina está abierta de tres a cinco.	Kantuvra lea rabas golmma rájes viđa rádjái.												
a				Pr		5	Lugar / Báíki		Usar: Ilativo										ir a Perú	vuolgit Perui	El autobús va de Guovdageaidnu a Kárášjohka.	Busse vuodjá Guovdageainnus Kárášjohkii.										
a				Pr		6			Usar: Acusativo										Ayer vi a Carmen.	Mun deiven Carmena ikte.												
a				Pr		7			Usar: Locativo										Preguntaremos a Márjá sobre el asunto.	Mii jearrat Márjjás ášši.												
a				Pr		8	Tiempo / Áigi		Usar: Locativo			Freq							Riego la planta tres veces a la semana.	Mun čáhccen šattuid golmma geardde vahkus.												
a				Pr		9	Estático		-beale		Adv								La cocina está a la izquierda.	Gievkkan lea gurutbeale.												
a				Pr		10	Dinámico		gurrii		Po								Se han sentado a la mesa.	Sii leat čohkkedan beavddi gurrii.												
a				Pr		11	Tiempo / Áigi, Después de		maŋŋá		Po								a los tres años	golbma jagi maŋŋá												
a				Pr		12	Ahki		-jahkásaččat		Adv								A los quince años, viajé por primera vez a América.	Vihttanuppelotjahkásažžan mátkkoštin vuosttaš geardde Amerihkái.												
a				Pr		13			Usar: Infinitivo			+ V							Mi hijo está aprendiendo a hablar.	Mu mánná lea oahppamin hállat.	Ya se han sentado a comer.	Sii leat juo čohkkedan borrat.										
a por				PrLc		1			viežžat		V								Ha ido a por leña.	Son lea mannan muoraid viežžat.												
